"Secure Checkout","Thanh Toán"
"First Name","Tên"
"Last Name","Họ"
"Town / City","Tỉnh / Thành Phố"
"Postcode / Zip","Mã bưu chính"
"Phone","Số điện thoại"
"Check / Money order","Thanh toán khi nhận hàng"
"Apartment / Suite / Building","Số nhà"
"Apply a Promo Code","Thêm mã giảm giá"
"Subtotal","Thành tiền"
"Total to pay","Thanh toán"

"User Guide","Hướng dẫn"
"Email Address","Địa chỉ Email"
"Password","Mật khẩu"
"Fax","Fax"
"Check your email for reset instructions.","Kiểm tra email của bạn để biết hướng dẫn đặt lại."
"Page not found.","Không tìm thấy trang."
"One-page checkout is turned off.","Thanh toán một trang đã bị tắt."
"Guest checkout is disabled. Please Login or Create an Account","Thanh toán với khách đã bị vô hiệu hóa. Vui lòng đăng nhập hoặc tạo tài khoản."
"Show logo and title","Hiển thị logo và tiêu đề"
"Show title only","Chỉ hiển thị tiêu đề"
"Please select a country.","Vui lòng chọn một quốc gia."
"Empty Cart","Giỏ hàng rỗng"
"Looks like there's nothing here yet. Add something to your shopping cart to get started.","Dường như chưa có gì ở đây. Thêm một số mặt hàng vào giỏ hàng của bạn để bắt đầu."
"Continue Shopping","Tiếp tục mua sắm"
"My Account","Tài khoản của tôi"
"Log In","Đăng nhập"
"Checkout Suite by IWD Agency","Thanh toán bởi IWD Agency"
"Choose a Different Payment Method","Chọn một phương thức thanh toán khác"
"Order Confirmation","Xác nhận đơn hàng"
"Your order (%s) has been placed. You will receive an email with more details of your purchase.","Đơn hàng của bạn (%s) đã được đặt. Bạn sẽ nhận được một email với chi tiết hơn về đơn hàng của mình."
"<a href=""%1"" target=""_blank"" class=""printReceipt"">Print receipt</a>","<a href=""%1"" target=""_blank"" class=""printReceipt"">In hóa đơn</a>"
"Create Account","Tạo tài khoản"
"Save your shipping and payment details for your next purchase. We'll send instructions on how to create your account to your inbox.","Lưu chi tiết vận chuyển và thanh toán để mua hàng lần sau. Chúng tôi sẽ gửi hướng dẫn cách tạo tài khoản đến hộp thư đến của bạn."
"Welcome to %store_name","Chào mừng đến với %store_name"
"%name,","%name,"
"Thank you for confirming your %store_name account.","Cảm ơn bạn đã xác nhận tài khoản %store_name của mình."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Để đăng nhập vào trang web của chúng tôi, sử dụng thông tin đăng nhập này trong quá trình thanh toán hoặc trên trang <a href=""%customer_url"">Tài khoản của tôi</a>:"
"Email:","Email:"
"Password:","Mật khẩu:"
"Please Follow Link Below to Set Password","Vui lòng nhấp vào liên kết bên dưới để đặt mật khẩu"
"To Set Password Click <a href=""%reset_url"">here</a>.","Để đặt mật khẩu, nhấp vào <a href=""%reset_url"">đây</a>."
"When you sign in to your account, you will be able to:","Khi đăng nhập vào tài khoản của bạn, bạn sẽ có thể:"
"Proceed through checkout faster","Tiến hành thanh toán nhanh hơn"
"Check the status of orders","Kiểm tra trạng thái đơn hàng"
"View past orders","Xem các đơn hàng trước đó"
"Store alternative addresses (for shipping to multiple family members and friends)","Lưu trữ các địa chỉ thay thế (để gửi hàng cho nhiều thành viên trong gia đình và bạn bè)"
"My billing and shipping address are the same","Địa chỉ thanh toán và giao hàng của tôi giống nhau"
"Save in address book","Lưu vào sổ địa chỉ"
"Billing Address","Địa chỉ thanh toán"
"Captcha is case sensitive","Captcha phân biệt chữ hoa chữ thường"
"Reload captcha","Tải lại captcha"
Reset,Đặt lại
"Gift Message","Tin nhắn quà tặng"
"Gift Entire Order","Tặng toàn bộ đơn hàng"
"Gift Receipt","Hóa đơn tặng"
"Printed card","Thẻ in"
"Gift Individual Items","Tặng các mặt hàng riêng lẻ"
"Log Out","Đăng xuất"
"Payment Method","Phương thức thanh toán"
"Make sure your shipping address is completed, and a shipping method has been selected.","Vui lòng đảm bảo điền đầy đủ địa chỉ giao hàng và chọn phương thức vận chuyển."
"No Payment Methods.","Không có phương thức thanh toán nào."
"Place Order","Đặt hàng"
"Sign Up For Newsletter","Đăng ký nhận tin"
"Store Credit","Tín dụng trong cửa hàng"
"Previous Credit Balance","Số dư tín dụng trước đó"
"New Credit Balance","Số dư tín dụng mới"
Remove,Xóa
Apply,Áp dụng
Cancel,Hủy bỏ
"Discount Code","Mã giảm giá"
"Discount Amount","Số tiền giảm giá"
"Gift Code","Mã quà tặng"
Status,Trạng thái
Active,Kích hoạt
"Previous Gift Balance","Số dư quà tặng trước đó"
"New Gift Balance","Số dư quà tặng mới"
"Add Another","Thêm một cái khác"
"The 3-4 digit number typically found on the back of your card","Số có 3-4 chữ số thường được tìm thấy ở mặt sau thẻ của bạn"
"Save for later use.","Lưu cho lần sử dụng sau."
"Make Check payable to:","Kê đơn thanh toán cho:"
"Send Check to:","Gửi đơn thanh toán đến:"
"Sign a billing agreement to streamline further purchases with PayPal.","Ký thỏa thuận thanh toán để tối ưu hóa các lần mua sắm tiếp theo với PayPal."
"Continue","Tiếp tục"
"We store you payment information securely on Authorize.net servers.","Chúng tôi lưu trữ thông tin thanh toán của bạn một cách an toàn trên máy chủ của Authorize.net."
"Continue to PayPal","Tiếp tục đến PayPal"
"Save credit card information for future use.","Lưu thông tin thẻ tín dụng cho lần sử dụng sau."
"Purchase Order Number","Số đặt hàng"
"Continue to Worldpay","Tiếp tục đến Worldpay"
"Reward Points","Điểm thưởng"
"Previous Reward Balance","Số dư điểm thưởng trước đó"
"New Reward Balance","Số dư điểm thưởng mới"
"Shipping Address","Địa chỉ giao hàng"
"Shipping Method","Phương thức vận chuyển"
"Make sure all required shipping address fields are completed before choosing a shipping method.","Vui lòng hoàn thành tất cả các trường địa chỉ giao hàng bắt buộc trước khi chọn phương thức vận chuyển."
"See our Shipping Policy","Xem Chính sách vận chuyển của chúng tôi"
"Your store credits were successfully removed","Tín dụng của bạn đã được xóa thành công"
"Your reward points were successfully removed","Điểm thưởng của bạn đã được xóa thành công"
"Your reward points were successfully applied","Điểm thưởng của bạn đã được áp dụng thành công"
"Your store credits were successfully applied","Tín dụng của bạn đã được áp dụng thành công"
"Provided Zip/Postal Code seems to be invalid.","Mã Zip/Postal Code cung cấp có vẻ không hợp lệ."
" Example: "," Ví dụ: "
"If you believe it is the right one you can ignore this notice.","Nếu bạn tin rằng đó là đúng, bạn có thể bỏ qua thông báo này."
"New Address","Địa chỉ mới"
Multiple,Multiple
"Select a new payment method","Chọn một phương thức thanh toán mới"
expires,hết hạn
CVV,CVV
"Credit Card Number","Số thẻ tín dụng"
MM,TH
YY,NĂM
"After clicking ""Place Order"", you will be directed to one of our trusted partners to complete your purchase.","Sau khi nhấn ""Đặt hàng"", bạn sẽ được chuyển hướng đến một trong các đối tác đáng tin cậy của chúng tôi để hoàn tất mua hàng của bạn."
"Incl. Tax","Bao gồm thuế"
"IWD Agency","IWD Agency"
"Checkout Suite","Bộ thanh toán"
General,Tổng quan
Version,Phiên bản
Documentation,Tài liệu
"Enable Module?","Kích hoạt module?"
"License Status","Trạng thái giấy phép"
"Purchased Email","Email đã mua"
"To activate this product, please enter the email address that was used to purchase this product from <a href=""https://www.iwdagency.com/extensions/"" target=""_blank"">IWD Agency</a>","Để kích hoạt sản phẩm này, vui lòng nhập địa chỉ email đã được sử dụng để mua sản phẩm này từ <a href=""https://www.iwdagency.com/extensions/"" target=""_blank"">IWD Agency</a>"
"Extended Settings","Cài đặt mở rộng"
"Meta Title","Tiêu đề Meta"
"Show discount form?","Hiển thị biểu mẫu giảm giá?"
"Show comment field?","Hiển thị trường bình luận?"
"Show gift message form?","Hiển thị biểu mẫu tin nhắn quà tặng?"
"Show custom success page?","Hiển thị trang thành công tùy chỉnh?"
"Show login button on top-left corner of the page?","Hiển thị nút đăng nhập ở góc trên bên trái của trang?"
"Show Subscribe to Newsletter?","Hiển thị Đăng ký nhận tin?"
"Check Subscribe to Newsletter by Default?","Kiểm tra Đăng ký nhận tin theo mặc định?"
"Default Shipping Method","Phương thức vận chuyển mặc định"
"Default Payment Method","Phương thức thanh toán mặc định"
"Payment method title display type","Loại hiển thị tiêu đề phương thức thanh toán"
"Assign order to customer if customer were not logged in (by email)?","Gán đơn hàng cho khách hàng nếu khách hàng chưa đăng nhập (bằng email)?"
"Reload shipping methods during applying/removing discount?","Tải lại phương thức vận chuyển khi áp dụng/xóa giảm giá?"
"If yes, then shipping methods will be reloaded when customer will applies/removes discount on checkout page. You should enable it if you offer discounts which make shipping free.","Nếu có, thì phương thức vận chuyển sẽ được tải lại khi khách hàng áp dụng/xóa giảm giá trên trang thanh toán. Bạn nên bật nó nếu bạn cung cấp giảm giá làm cho vận chuyển miễn phí."
""If ""Yes"", then guests may checkout even if Magento's Guest Checkout setting is disabled. If ""No"", then users will be forced to create an account to checkout. Setting this as no, may affect your conversion rate.","Nếu ""Yes"", khách hàng có thể thanh toán mà không cần đăng nhập tài khoản. Nếu ""No"", người dùng sẽ bị bắt buộc tạo tài khoản để thanh toán. Đặt giá trị này là No có thể ảnh hưởng đến tỷ lệ chuyển đổi của bạn."
"Show All shipping methods in one select-box?","Hiển thị tất cả các phương thức vận chuyển trong một hộp chọn?"
"Enable Google Maps Autocomplete","Bật chế độ tự động hoàn thiện địa chỉ của Google Maps"
"Google Maps API Key","Google Maps API Key"
" For more information <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"">see</a>"," For more information <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"">see</a>"
"Restrict Payment Methods by customer groups","Restrict Payment Methods by customer groups"
Enable?,Enable?
"Google Analytics Web Experiments","Google Analytics Web Experiments"
"To use Google Analytics Web Experiments you should enable and configure Google Analytics for your website in ""System/Sales/Google API"". Also, you should configure 2 variants(pages) of experiment: ""Native checkout page"" - original page(with url ""@your_store_url@/checkout"") and ""IWD Checkout Page""(with url ""@your_store_url@/onepage"").","To use Google Analytics Web Experiments you should enable and configure Google Analytics for your website in ""System/Sales/Google API"". Also, you should configure 2 variants(pages) of experiment: ""Native checkout page"" - original page(with url ""@your_store_url@/checkout"") and ""IWD Checkout Page""(with url ""@your_store_url@/onepage"")."
"Google Analytics Experiment code","Google Analytics Experiment code"
"You will get this code after experiment registered in Google Analytics account","You will get this code after experiment registered in Google Analytics account"